a: 1137 7.689186 
b: 216 1.460743 
c: 300 2.028809 
d: 562 3.800636 
e: 1831 12.382499 
f: 298 2.015284 
g: 261 1.765064 
h: 918 6.208156 
i: 963 6.512477 
j: 16 0.108203 
k: 99 0.669507 
l: 696 4.706837 
m: 488 3.300196 
n: 883 5.971461 
o: 1177 7.959694 
p: 214 1.447217 
q: 40 0.270508 
r: 908 6.140529 
s: 944 6.383986 
t: 1272 8.602151 
u: 564 3.814161 
v: 162 1.095557 
w: 365 2.468385 
x: 16 0.108203 
y: 456 3.083790 
z: 1 0.006763 


Relative Frequency Histogram
 a ||||||||  7.689
 b ||  1.461
 c |||  2.029
 d ||||  3.801
 e |||||||||||||  12.382
 f |||  2.015
 g ||  1.765
 h |||||||  6.208
 i |||||||  6.512
 j |  0.108
 k |  0.670
 l |||||  4.707
 m ||||  3.300
 n ||||||  5.971
 o ||||||||  7.960
 p ||  1.447
 q |  0.271
 r |||||||  6.141
 s |||||||  6.384
 t |||||||||  8.602
 u ||||  3.814
 v ||  1.096
 w |||  2.468
 x |  0.108
 y ||||  3.084
 z |  0.007
